threshold,precision,recall,f1,accuracy
0.0,0.16,1.0,0.28,0.16
0.06,0.18,0.98,0.3,0.28
0.11,0.22,0.85,0.36,0.51
0.17,0.25,0.53,0.34,0.67
0.22,0.35,0.4,0.38,0.79
0.28,0.52,0.28,0.36,0.84
0.33,0.57,0.09,0.15,0.84
0.39,0.0,0.0,0.0,0.84
0.44,0.0,0.0,0.0,0.84
0.5,0.0,0.0,0.0,0.84
0.56,0.0,0.0,0.0,0.84
0.61,0.0,0.0,0.0,0.84
0.67,0.0,0.0,0.0,0.84
0.72,0.0,0.0,0.0,0.84
0.78,0.0,0.0,0.0,0.84
0.83,0.0,0.0,0.0,0.84
0.89,0.0,0.0,0.0,0.84
0.94,0.0,0.0,0.0,0.84
1.0,0.0,0.0,0.0,0.84
